"","Course Code","Course Name","Course Description","Prerequisite","Antirequisite","Corequisite","Note","Other Information","Lecture","Lab","Test Slot","Tutorial","Project","Reading","Studio","Credit Amount"
"1","AMATH 231","Calculus 4","Vector integral calculus-line integrals, surface integrals and vector fields, Green's theorem, the Divergence theorem, and Stokes' theorem. Applications include conservation laws, fluid flow and electromagnetic fields. An introduction to Fourier analysis. Fourier series and the Fourier transform. Parseval's formula. Frequency analysis of signals. Discrete and continuous spectra. [Offered: F,W,S]","Prereq: MATH 237 or 247."," Antireq: MATH 207, 212/ECE 206, MATH 217, 227","",""," ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"2","AMATH 242","Introduction to Computational Mathematics","A rigorous introduction to the field of computational mathematics. The focus is on the interplay between continuous models and their solution via discrete processes. Topics include pitfalls in computation, solution of linear systems, interpolation, discrete Fourier transforms, and numerical integration. Applications are used as motivation.","Prereq: (One of CS 116, 136, 138, 146), MATH 235 or 245, 237 or 247."," Antireq: CS 335, 370, ECE 204, MTE 204","","[Note: This course may be substituted for CS 370 in any degree plan or for prerequisite purposes; lab is not scheduled and students are expected to find time in open hours to complete their work. Offered: W,S]"," (Cross-listed with CS 371)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"3","AMATH 250","Introduction to Differential Equations","Physical systems which lead to differential equations (examples include mechanical vibrations, population dynamics, and mixing processes). Dimensional analysis and dimensionless variables. Solving linear differential equations: first- and second-order scalar equations and first-order vector equations. Laplace transform methods of solving differential equations. [Offered: F,W,S]","Prereq: (One of MATH 106, 114, 115, 136, 146, NE 112) and (One of MATH 118, 119, 128, 138, 148)."," Antireq: AMATH 251, 350, MATH 218, 228","",""," ",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"4","AMATH 251","Introduction to Differential Equations (Advanced Level)","AMATH 251 is an advanced-level version of AMATH 250. This course offers a more theoretical treatment of differential equations and solution methods. In addition, emphasis will be placed on computational analysis of differential equations and on applications in science and engineering.","Prereq: (One of MATH 106, 114, 115, 136, 146, NE 112) and (One of MATH 118, 119, 128, 138, 148)."," Antireq: AMATH 250, 350, MATH 218, 228","","[Note: AMATH 251 may be substituted for AMATH 250 whenever the latter is a requirement in an Honours plan. Offered: F]"," ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"0.50"
"5","AMATH 271","Introduction to Theoretical Mechanics","Newtonian dynamics, gravity and the two-body problem, introduction to Lagrangian mechanics, introduction to Hamiltonian mechanics, non-conservative forces, oscillations, introduction to special relativity. [Offered: F]","Prereq: (One of MATH 128, 138, 148), PHYS 121."," Antireq: PHYS 263"," Coreq: (One of AMATH 250, 251, MATH 228), (One of MATH 227, 237, 247).",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"6","AMATH 331","Applied Real Analysis","Topology of Euclidean spaces, continuity, norms, completeness. Contraction mapping principle. Fourier series. Various applications, for example, to ordinary differential equations, optimization and numerical approximation.","Prereq: MATH 237 or 247","","","[Note: PMATH 351 may be substituted for AMATH/PMATH 331 whenever the latter is a requirement in an Honours plan. Offered: F,W]"," (Cross-listed with PMATH 331)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"7","AMATH 332","Applied Complex Analysis","Complex numbers, Cauchy-Riemann equations, analytic functions, conformal maps and applications to the solution of Laplace's equation, contour integrals, Cauchy integral formula, Taylor and Laurent expansions, residue calculus and applications.","Prereq: MATH 237 or 247."," Antireq: PHYS 365","","[Note: PMATH 352 may be substituted for AMATH/PMATH 332 whenever the latter is a requirement in an Honours plan. Offered: W,S]"," (Cross-listed with PMATH 332)",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"0.50"
"8","AMATH 342","Computational Methods for Differential Equations","An introduction to numerical methods for ordinary and partial differential equations. Ordinary differential equations: multistep and Runge-Kutta methods; stability and convergence; systems and stiffness; boundary value problems. Partial differential equations: finite difference methods for elliptic, hyperbolic and parabolic equations; stability and convergence. The course focuses on introducing widely used methods and highlights applications in the natural sciences, the health sciences, engineering, and finance. [Offered: F,W]","Prereq: (AMATH 242/CS 371 or CS 370) and (One of AMATH 250, 251, 350 or MATH 218, 228)","","",""," ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"9","AMATH 343","Discrete Models in Applied Mathematics","Difference equations and discrete dynamical systems. Mathematical models are taken from ecology, biology, economics, and other fields. [Offered: F]","Prereq: MATH 128 or 138 or 148","","",""," ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0.50"
"10","AMATH 350","Differential Equations for Business and Economics","First order ordinary differential equations. Applications to continuous compounding and the dynamics of supply and demand. Higher order linear ordinary differential equations. Systems of linear ordinary differential equations. Introduction to linear partial differential equations. The Fourier Transform and the diffusion equation. Discussion of the Black-Scholes partial differential equations, and solutions thereof. [Offered: F,W]","Prereq:(One of MATH106, 136, 146), 237 or 247, STAT 230or240 &(one of AFM 272/ACTSC291,ACTSC371,372,ECON371,BUS393W);Lev at least 3A;Not open to GenMath stdts."," Antireq:AMATH250,251,351,353,CIVE222, ENVE223,MATH211/ECE205,MATH218,228,ME203,PHYS364,SYDE211","",""," ",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0.50"
